name,number,image,date,Batch,Type,Rank,Total Score,Bonus Score,Background,Background Score,Base,Base Score,Outfit,Outfit Score,Necklace,Necklace Score,Eye,Eye Score,Beard,Beard Score,Hair,Hair Score,Hat,Hat Score,Hand_Accessories,Hand_Accessories Score,Shoulder,Shoulder Score,Mouth,Mouth Score,Unlock_Date
Pixel Pirates #17,17,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/17.png,1650737924890,1,Common,489.0,75.34504641567689,0,Purple,10.534246575342467,Base_Red,6.252032520325203,Regular_Pirate_Suit,6.462184873949579,None,1.5535353535353538,None,2.24198250728863,Long_Beard,7.927835051546392,Sparrow_Hair,8.941860465116278,Pirate_Hat_Purple,8.268817204301076,Handgun,8.010416666666666,Corgi_Dog,13.491228070175438,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #18,18,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/18.png,1650737925040,1,Common,668.0,68.93278331186428,0,Grey,10.985714285714286,Base_Pink,5.825757575757576,Regular_Pirate_Suit_Red_And_Luminous_,6.745614035087719,None,1.5535353535353538,None,2.24198250728863,Long_Beard,7.927835051546392,Sparrow_Hair_White,7.53921568627451,Pirate_Hat_Luminous,7.254716981132076,None,6.516949152542373,Parrot_Yellow,10.680555555555555,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #19,19,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/19.png,1650737991258,1,Common,392.0,80.16892636114392,0,Plue,10.534246575342467,Base_Red,6.252032520325203,None,6.252032520325203,Bottle_Ship_Necklace_Silver,3.4330357142857144,Eye_Patch,1.9922279792746114,Long_Beard_Black,7.3238095238095235,Sparrow_Hair,8.941860465116278,Pirate_Hat_Purple,8.268817204301076,Hand_Tattoo,16.020833333333332,None,6.572649572649572,Silver_Teeth,4.5773809523809526,1653350400
Pixel Pirates #20,20,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/20.png,1650737991757,1,Common,706.0,67.60463424194705,0,Light_Blue,9.6125,Base,5.654411764705882,Regular_Pirate_Suit_Red_And_Luminous_,6.745614035087719,None,1.5535353535353538,Eye_Patch,1.9922279792746114,Long_Beard_Black,7.3238095238095235,Ginger_Hair,7.394230769230769,Pirate_Hat,7.186915887850468,None,6.516949152542373,Parrot,9.047058823529412,Silver_Teeth,4.5773809523809526,1653350400
Pixel Pirates #21,21,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/21.png,1650737991811,1,Common,411.0,79.33402887141936,0,Light_Pink,9.493827160493828,Base_Green,7.055045871559632,Regular_Pirate_Suit_Red_And_Luminous_,6.745614035087719,None,1.5535353535353538,None,2.24198250728863,Stubble_Black,8.268817204301076,Sparrow_Hair,8.941860465116278,Bandana_Hat_Green,17.477272727272727,Sword,7.254716981132076,Monkey,8.640449438202246,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #22,22,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/22.png,1650737991865,1,Common,78.0,105.27388017544179,0,Plue,10.534246575342467,Base_Red,6.252032520325203,Chest_Tattoo,21.97142857142857,None,1.5535353535353538,Eye_Patch,1.9922279792746114,Long_Beard,7.927835051546392,Black_Hair,7.3238095238095235,Pirate_Hat_Luminous,7.254716981132076,Gun_Gold,25.63333333333333,Parrot_Green,10.253333333333334,Silver_Teeth,4.5773809523809526,1653350400
Pixel Pirates #23,23,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/23.png,1650738005651,1,Common,556.0,72.92494093683881,0,Light_Yellow,10.534246575342467,Base_Blue,6.252032520325203,None,6.252032520325203,None,1.5535353535353538,None,2.24198250728863,Long_Beard,7.927835051546392,White_Hair,6.408333333333332,None,5.026143790849673,Hand_Tattoo,16.020833333333332,Parrot,9.047058823529412,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #24,24,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/24.png,1650738006305,1,Common,107.0,99.00008700435033,0,Light_Yellow,10.534246575342467,Base_Green,7.055045871559632,Chest_Tattoo,21.97142857142857,Bottle_Ship_Necklace_Silver,3.4330357142857144,Eye_Patch,1.9922279792746114,Long_Beard_Ginger,9.6125,Sparrow_Hair,8.941860465116278,Pirate_Hat,7.186915887850468,Whisky_Bottle,12.206349206349207,None,6.572649572649572,Smoke_Pipe,9.493827160493828,1653350400
Pixel Pirates #25,25,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/25.png,1650738006449,1,Common,671.0,68.89659278722083,0,Grey,10.985714285714286,Base_Pink,5.825757575757576,Regular_Pirate_Suit_Purple_And_Orange,6.68695652173913,None,1.5535353535353538,None,2.24198250728863,Long_Beard_Johnny,7.254716981132076,Blonde_Hair,5.825757575757576,Pirate_Hat_Luminous,7.254716981132076,Treasure_Map,13.033898305084746,None,6.572649572649572,Regular_Smile,1.6609071274298057,1653350400
Pixel Pirates #27,27,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/27.png,1650738019036,1,Common,625.0,70.74661589725791,0,Purple,10.534246575342467,Base,5.654411764705882,Regular_Pirate_Suit,6.462184873949579,Bottle_Ship_Necklace_Silver,3.4330357142857144,None,2.24198250728863,Long_Beard_Johnny,7.254716981132076,Sparrow_Hair_White,7.53921568627451,Pirate_Hat,7.186915887850468,Whisky_Bottle,12.206349206349207,None,6.572649572649572,Regular_Smile,1.6609071274298057,1653350400
