name,number,image,date,Batch,Type,Rank,Total Score,Bonus Score,Background,Background Score,Base,Base Score,Outfit,Outfit Score,Necklace,Necklace Score,Eye,Eye Score,Beard,Beard Score,Hair,Hair Score,Hat,Hat Score,Hand_Accessories,Hand_Accessories Score,Shoulder,Shoulder Score,Mouth,Mouth Score,Unlock_Date,address
Pixel Pirates #537,537,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/537.png,1652997289010,3,Common,142.0,94.97064637298982,0,Purple,10.561643835616438,Base_Red,6.168,Regular_Pirate_Suit_Green_And_Grey,6.823008849557522,,1.5575757575757574,Eye_Patch,1.992248062015504,Long_Beard_Johnny,7.273584905660376,White_Hair,6.425,Pirate_Hat_Luminous,7.205607476635514,Gun_Gold,25.7,Octopus,11.86153846153846,Smoke_Pipe,9.402439024390244,1655683200,0xEB4652163f76430a369977C33c4C6570aC1CB084
Pixel Pirates #538,538,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/538.png,1652997302517,3,Common,232.0,88.48485537497152,0,Purple,10.561643835616438,Base_Red,6.168,,6.2682926829268295,Bottle_Ship_Necklace_Gold,15.734693877551022,,2.2412790697674416,Long_Beard_Johnny,7.273584905660376,Black_Hair,7.273584905660376,Pirate_Hat_Purple,8.290322580645162,Hook_Hand,6.7043478260869565,Monkey,8.566666666666666,Smoke_Pipe,9.402439024390244,1655683200,0xC169FD8055Ad90A4E40b4106b570D0d59db6A2d8
Pixel Pirates #539,539,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/539.png,1652997316410,3,Common,743.0,65.82432145004623,0,Light_Yellow,10.561643835616438,Base_Blue,6.2682926829268295,Regular_Pirate_Suit_Red_And_Luminous_,6.7043478260869565,,1.5575757575757574,Eye_Patch,1.992248062015504,Long_Beard_Black,7.342857142857143,Blonde_Hair,5.840909090909091,Pirate_Hat_Purple,8.290322580645162,,6.533898305084746,Parrot,9.070588235294116,Regular_Smile,1.6616379310344829,1655683200,0x65Ea1984d8ce3A856750B469ee7aC7639070d65C
Pixel Pirates #540,540,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/540.png,1652997329516,3,Common,132.0,96.30347947286369,0,Purple,10.561643835616438,Base_Red,6.168,Regular_Pirate_Suit_Purple_And_Orange,6.7043478260869565,Bottle_Ship_Necklace_Gold,15.734693877551022,,2.2412790697674416,Stubble,9.402439024390244,Ginger_Hair,7.413461538461539,Pirate_Hat,7.205607476635514,,6.533898305084746,Penguin,22.676470588235293,Regular_Smile,1.6616379310344829,1655683200,0x9F1CfC94feC8826B7e546CB77b6f7C2707B2Bf98
Pixel Pirates #541,541,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/541.png,1652997343627,3,Common,221.0,88.97528991147122,0,Light_Red,10.708333333333334,Base_Blue,6.2682926829268295,Chest_Tattoo,22.02857142857143,,1.5575757575757574,,2.2412790697674416,Goatee,8.862068965517242,Regular_Hair,7.709999999999999,Pirate_Hat,7.205607476635514,Sword,7.205607476635514,Corgi_Dog,13.526315789473683,Regular_Smile,1.6616379310344829,1655683200,0xC169FD8055Ad90A4E40b4106b570D0d59db6A2d8
Pixel Pirates #542,542,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/542.png,1652997344085,3,Common,769.0,62.437601927223234,0,Light_Green,10.418918918918918,Base,5.669117647058823,Regular_Pirate_Suit_Red_And_Luminous_,6.7043478260869565,,1.5575757575757574,,2.2412790697674416,Long_Beard_Black,7.342857142857143,Blonde_Hair,5.840909090909091,Pirate_Hat,7.205607476635514,Sword,7.205607476635514,,6.58974358974359,Regular_Smile,1.6616379310344829,1655683200,0x8D580265C37790F4c39ccaF398Adefd341B3Ca0b
Pixel Pirates #543,543,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/543.png,1652997370316,3,Common,540.0,73.59885814066674,0,Light_Luminous_,8.965116279069766,Base_Blue,6.2682926829268295,Regular_Pirate_Suit_Purple_And_Orange,6.7043478260869565,Bottle_Ship_Necklace_Silver,3.411504424778761,,2.2412790697674416,Long_Beard_Ginger,9.51851851851852,Regular_Hair,7.709999999999999,Pirate_Hat_Purple,8.290322580645162,Whisky_Bottle,12.238095238095235,,6.58974358974359,Regular_Smile,1.6616379310344829,1655683200,0xD8b1d41A77f12Bb972Ead1b4c3503693F1Cd0560
Pixel Pirates #544,544,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/544.png,1652997370797,3,Common,731.0,66.2504113772387,0,Light_Luminous_,8.965116279069766,Base,5.669117647058823,Regular_Pirate_Suit_Purple_And_Orange,6.7043478260869565,,1.5575757575757574,Eye_Patch,1.992248062015504,Long_Beard_Johnny,7.273584905660376,Ginger_Hair,7.413461538461539,Pirate_Hat_Purple,8.290322580645162,Sword,7.205607476635514,,6.58974358974359,Silver_Teeth,4.589285714285714,1655683200,0xEb332A4448352582c90d3962012C06d77e69586D
Pixel Pirates #545,545,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/545.png,1652997384010,3,Common,738.0,65.98337040506384,0,Purple,10.561643835616438,Base,5.669117647058823,Regular_Pirate_Suit_Blue_And_Blue,7.138888888888888,,1.5575757575757574,Eye_Patch,1.992248062015504,Long_Beard,7.948453608247423,Regular_Hair,7.709999999999999,Pirate_Hat,7.205607476635514,Handgun,7.948453608247423,,6.58974358974359,Regular_Smile,1.6616379310344829,1655683200,0xC169FD8055Ad90A4E40b4106b570D0d59db6A2d8
Pixel Pirates #546,546,https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/546.png,1652997384524,3,Common,250.0,87.69980792161562,0,Plue,10.561643835616438,Base_Pink,5.840909090909091,Arm_Tattoo,24.87096774193548,,1.5575757575757574,,2.2412790697674416,Goatee,8.862068965517242,Sparrow_Hair_White,7.485436893203883,Pirate_Hat,7.205607476635514,Hook_Hand,6.7043478260869565,Parrot_Yellow,10.708333333333334,Regular_Smile,1.6616379310344829,1655683200,0x6ffbb6C376d0cf590289671D652Ae92213614828
