id,address,tokenId,amountBatch,seller,vault,sold,startTime,endTime,cancelled,isAuction,isFlashAuction,isAntisnipe,maxBid,maxBidder,maxOffer,maxOfferer,amount,amountRemaining,desiredAmountRemaining,complete,price,isERC721,isNSFW,version,nextMinimum,donationAddress,donationPercentage,custom1,custom2,custom3,custom4,custom5,custom6,custom7,custom8,userSupplyValid,minBid,minOffer,subgraphIndex,approvalState,contentVerified,isFNFT,nft.lastSellPrice,nft.lastSellId,nft.isNSFW,nft.address,nft.mintOrder,nft.createdTimestamp,nft.isERC721,nft.creator,nft.owner,nft.num,nft.onSale,nft.saleId,nft.price,nft.custom1,nft.custom2,nft.custom3,nft.custom4,nft.custom5,nft.custom6,nft.custom7,nft.custom8,nft.isTransferable,nft.isTracked,nft.contentVerified,nft.approvalState,nft.isFNFT,number,image,Batch,Type,Rank,Total Score,Rarity Score / FTM
173733,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,48,1,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,,True,1651302883,2022-05-02,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,45.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,12,approve,True,True,45000000000000000000,173733,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,47,1650738198,True,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,0x451785b3f5fbbba2388d8cdeded58251b6999d91,1,False,-1,0,,,,,,,,,True,True,True,approve,True,48,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/48.png width=""100"">",1,Common,245.0,88.88860114484757,1.9753022476632793
173629,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,93,1,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,,True,1651254052,2022-05-03,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,40.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,13,approve,True,True,40000000000000000000,173629,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,92,1650739008,True,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,0xac8b275b9ce0fee06abfb98ef20471a9e9da56c4,1,False,-1,0,,,,,,,,,True,True,True,approve,True,93,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/93.png width=""100"">",1,Common,664.0,71.35450653272655,1.7838626633181636
173654,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,85,1,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,,True,1651276367,2022-05-04,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,55.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,14,approve,True,True,55000000000000000000,173654,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,84,1650738911,True,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,0xc3b77ff6624e3b6904bde69d3fd0a4f7161cf227,1,False,-1,0,,,,,,,,,True,True,True,approve,True,85,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/85.png width=""100"">",1,Common,218.0,89.9241632690205,1.6349847867094636
171998,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,183,1,0x8b1306d6b57e738dbdf288b6e4d01d4583b34cb7,,True,1650836489,2022-05-05,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,34.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,15,approve,True,True,34000000000000000000,171998,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,182,1650779662,True,0x8b1306d6b57e738dbdf288b6e4d01d4583b34cb7,0xdf9e2288b48176b1f4b12548815decc09e9f2f79,1,False,-1,0,,,,,,,,,True,True,True,approve,True,183,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/183.png width=""100"">",1,Common,384.0,82.65068841413691,2.4309026004157914
174962,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,302,1,0x00ab97c782c661fb3d08c96dce06176938101211,,True,1651615693,2022-05-05,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,35.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,16,approve,True,True,35000000000000000000,174962,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,301,1651603481,True,0x00ab97c782c661fb3d08c96dce06176938101211,0x4ea6415289cf688f8a19381e1a9af213d2510454,1,False,-1,0,,,,,,,,,True,True,True,approve,True,302,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/302.png width=""100"">",2,Common,280.0,87.54942985732234,2.5014122816377813
175566,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,40,1,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,,True,1651742488,2022-05-05,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,35.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,17,approve,True,True,35000000000000000000,175566,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,39,1650738102,True,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,0x0d9f101288550703244ab0fff47bc0a29559d947,1,False,-1,0,,,,,,,,,True,True,True,approve,True,40,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/40.png width=""100"">",1,Common,765.0,68.20062613344373,1.9485893180983924
173631,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,87,1,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,,True,1651254248,2022-05-05,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,50.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,18,approve,True,True,50000000000000000000,173631,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,86,1650738925,True,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,0xd142ab6d8e7b3c7b2efbda250158cfa2b8680d63,1,False,-1,0,,,,,,,,,True,True,True,approve,True,87,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/87.png width=""100"">",1,Common,253.0,88.63797772317453,1.7727595544634906
175056,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,81,1,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,,True,1651644548,2022-05-06,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,35.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,19,approve,True,True,100000000000000000000,191206,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,80,1650738876,True,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,0x1467e4395f401e72877a46eded3de6bfd714c572,1,False,-1,0,,,,,,,,,True,True,True,approve,True,81,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/81.png width=""100"">",1,Common,510.0,76.28715318305991,2.179632948087426
176354,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,92,1,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,,True,1651864794,2022-05-08,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,30.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,21,approve,True,True,30000000000000000000,176354,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,91,1650738989,True,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,0x65ea1984d8ce3a856750b469ee7ac7639070d65c,1,False,-1,0,,,,,,,,,True,True,True,approve,True,92,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/92.png width=""100"">",1,Common,520.0,75.92649664741309,2.5308832215804364
176353,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,28,1,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,,True,1651864755,2022-05-08,False,False,False,True,0,0x0000000000000000000000000000000000000000,0,0x0000000000000000000000000000000000000000,1,0,0,True,30.0,True,False,2,1,0x0000000000000000000000000000000000000000,0,,,,,,,,,True,1,1,22,approve,True,True,30000000000000000000,176353,False,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,27,1650738009,True,0x78de8e8e9fdcaeba199c2aefbd1a69c4bccdd9e6,0x056d952f9273b2c10a473cd8088bdfa355b10b6d,1,False,-1,0,,,,,,,,,True,True,True,approve,True,28,"<img src=https://nft.hedgey.finance/fantom/0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351/28.png width=""100"">",1,Common,700.0,70.01001730218432,2.3336672434061443
