name,number,image,date,Batch,Type,Rank,Total Score,Background,Background Score,Skin,Skin Score,Body,Body Score,Eyes,Eyes Score,Weapon,Weapon Score,Necklace,Necklace Score,Eye Patch,Eye Patch Score,Hair,Hair Score,Hat,Hat Score,Mouth,Mouth Score,Pet,Pet Score,Unlock_Date,address
Pirate Life #661,661,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/661.png,1663338211364,2,Common,531.0,140.94849395176274,Grey,16.666666666666668,Honey,8.018867924528301,Shirt_LQDR,15.454545454545451,Eyes_Orange,17.346938775510203,Gun_Right,12.87878787878788,Teeth,9.34065934065934,Eye_Patch_Left,2.75974025974026,Mid_Hair_Beard_Ginger,42.5,None,1.847826086956522,Open_Mouth_Gold,11.486486486486488,None,2.64797507788162,1665423371,0xE66b9c6b6363195E75F806bf5519e578F02114cE
Pirate Life #662,662,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/662.png,1663339560904,2,Common,639.0,130.88952397684102,Night_Blue,19.76744186046512,Sand,7.327586206896552,Neked,3.695652173913044,Wink_Orange,14.655172413793103,Gun_Right,12.87878787878788,None,1.7102615694164989,Eye_Patch_Right,2.599388379204893,Mid_Hair_Stubble_Grey,34.0,None,1.847826086956522,Pipe_Gold,15.740740740740742,Octopus,16.666666666666668,1665423371,0xb30859a7E17E51b0Bd34DcdC907b908e3F5f08bA
Pirate Life #663,663,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/663.png,1663340552181,2,Common,661.0,128.3846952249263,Night_Blue,19.76744186046512,Almond,6.746031746031747,Neked,3.695652173913044,Bulging_Eyes_Blue,15.454545454545451,None,1.6865079365079367,Skull_Silver,9.444444444444445,Eye_Patch_Right,2.599388379204893,Short_Hair_Black,40.47619047619048,None,1.847826086956522,Teeth_Gold,10.0,Octopus,16.666666666666668,1665423371,0x6B52DCB6Fe97Dc93Dfe8DF8d4ae9a7c2856CcBa2
Pirate Life #664,664,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/664.png,1663340658521,2,Common,90.0,218.2240219445733,Abe_Cyan,17.346938775510203,Almond,6.746031746031747,Shirt_Red_Pink,16.666666666666668,Wink_Orange,14.655172413793103,None,1.6865079365079367,Teeth_Gold,29.310344827586206,Eye_Patch_Right,2.599388379204893,Mid_Hair_Stubble_Ginger,47.22222222222222,Pirate_Hat_Blue,15.454545454545451,Regular_Mouth,5.821917808219179,Parrot_LQDR,60.71428571428571,1665423371,0x6B52DCB6Fe97Dc93Dfe8DF8d4ae9a7c2856CcBa2
Pirate Life #665,665,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/665.png,1663340684800,2,Common,617.0,132.24242208885556,Grey,16.666666666666668,Porcelain,6.115107913669064,Shirt_Yellow_Black,18.08510638297872,Stoned_Eyes,12.318840579710145,None,1.6865079365079367,Skull_Silver,9.444444444444445,Eye_Patch_Left,2.75974025974026,Long_Hair_Goatee_Brown,34.0,None,1.847826086956522,Teeth_Gold,10.0,Monkey_x,19.318181818181817,1665423371,0x6B52DCB6Fe97Dc93Dfe8DF8d4ae9a7c2856CcBa2
Pirate Life #666,666,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/666.png,1663340777232,2,Common,44.0,247.11217745701447,Grey,16.666666666666668,Honey,8.018867924528301,Shirt_Red_Pink,16.666666666666668,Bulging_Eyes_Blue,15.454545454545451,Gun_Right,12.87878787878788,Teeth_Blood,18.08510638297872,Eye_Patch_Left,2.75974025974026,Mid_Hair_Stubble_Grey,34.0,Bandana_Shadow,94.44444444444444,Pipe_Silver,9.659090909090908,Parrot_Green,18.47826086956522,1665423371,0x6B52DCB6Fe97Dc93Dfe8DF8d4ae9a7c2856CcBa2
Pirate Life #667,667,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/667.png,1663340830741,2,Common,539.0,140.5434415600388,Shadow,15.178571428571429,Goblin,25.0,Tattoo,17.0,Angry_Eyes,13.492063492063494,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Right,2.599388379204893,Long_Hair_Stubble_Brown,34.0,None,1.847826086956522,Blunt,9.55056179775281,Parrot_Green,18.47826086956522,1665423371,0x6B52DCB6Fe97Dc93Dfe8DF8d4ae9a7c2856CcBa2
Pirate Life #668,668,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/668.png,1663341558303,2,Common,519.0,142.07783513667442,Purple,25.75757575757576,Almond,6.746031746031747,Neked,3.695652173913044,Bulging_Eyes_Green,12.87878787878788,Sword_Right,11.643835616438356,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Short_Hair_Stubble_White,26.562500000000004,Pirate_Hat_Orange,24.285714285714285,Teeth_Gold,10.0,Parrot_Red,16.037735849056602,1665423371,0x1467E4395F401e72877A46EdEd3DE6bFD714C572
Pirate Life #669,669,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/669.png,1663341558482,2,Common,211.0,182.91853643323932,Chilean_Fire,19.318181818181817,Espresso,6.343283582089552,Neked,3.695652173913044,Wink_Shadow,77.27272727272727,None,1.6865079365079367,Teeth,9.34065934065934,None,4.427083333333333,Mid_Hair_Beard_Johnny,32.69230769230769,None,1.847826086956522,Cheeky,8.947368421052632,Monkey_Blue,17.346938775510203,1665423371,0x5ca642d0138f8fa36f4ec6311190825392246AdA
Pirate Life #670,670,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/670.png,1663342351955,2,Common,494.0,144.61642927639184,Yellow,16.666666666666668,Almond,6.746031746031747,Tattoo,17.0,Bulging_Eyes_Blue,15.454545454545451,Gun_Right,12.87878787878788,Teeth_Gold,29.310344827586206,Eye_Patch_Left,2.75974025974026,Mid_Hair_Beard_Brown,30.35714285714285,None,1.847826086956522,Cheeky,8.947368421052632,None,2.64797507788162,1665423371,0xE66b9c6b6363195E75F806bf5519e578F02114cE
Pirate Life #671,671,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/671.png,1663342352136,2,Common,156.0,198.0537143132189,Chilean_Fire,19.318181818181817,Almond,6.746031746031747,Shirt_Green,17.346938775510203,Angry_Eyes_Shadow,65.38461538461539,Sword_Left,11.805555555555555,None,1.7102615694164989,None,4.427083333333333,Long_Hair_Beard_Brown,26.562500000000004,Bandana_Red,19.76744186046512,Cheeky,8.947368421052632,Parrot_Red,16.037735849056602,1665423371,0xE66b9c6b6363195E75F806bf5519e578F02114cE
Pirate Life #672,672,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/672.png,1663342352320,2,Common,420.0,151.38201326313154,Abe_Purple,20.731707317073173,Golden,7.264957264957266,Neked,3.695652173913044,Wink_Orange,14.655172413793103,Sword_Right,11.643835616438356,Skull_Silver,9.444444444444445,Eye_Patch_Right,2.599388379204893,Mid_Hair_Stubble_Grey,34.0,Pirate_Hat_Red,19.318181818181817,Teeth_Silver,9.13978494623656,Parrot_Purple,18.88888888888889,1665423371,0xE66b9c6b6363195E75F806bf5519e578F02114cE
Pirate Life #673,673,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/673.png,1663343567662,2,Common,694.0,125.21668737797036,Night_Blue,19.76744186046512,Sand,7.327586206896552,Neked,3.695652173913044,Eyes_Green,13.934426229508198,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Long_Hair_Goatee_Brown,34.0,Pirate_Hat_Blue,15.454545454545451,Teeth_Silver,9.13978494623656,Parrot_Blue,15.740740740740742,1665423371,0xFC961534a0A55b925dB2c5ee546c8A019c0D78d5
Pirate Life #674,674,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/674.png,1663344135761,2,Common,328.0,163.39923307647553,Purple,25.75757575757576,Porcelain,6.115107913669064,Shirt_Shadow,20.731707317073173,Angry_Eyes,13.492063492063494,Sword_Left,11.805555555555555,None,1.7102615694164989,Eye_Patch_Right,2.599388379204893,Short_Hair_White,38.63636363636363,Bandana_Red,19.76744186046512,Open_Mouth,6.746031746031747,Parrot_Red,16.037735849056602,1665423371,0xFb1da3E12a54d9D4036f969049fD58C97C6D00b2
Pirate Life #675,675,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/675.png,1663344439848,2,Common,477.0,145.82184020657758,Yellow,16.666666666666668,Honey,8.018867924528301,Shirt_Red,14.655172413793103,Eyes_Blue,17.708333333333332,None,1.6865079365079367,None,1.7102615694164989,Eye_Patch_Left,2.75974025974026,Mid_Hair_Stubble_Blonde,40.47619047619048,Bandana_Purple,17.0,Regular_Mouth,5.821917808219179,Monkey_x,19.318181818181817,1665423371,0xE66b9c6b6363195E75F806bf5519e578F02114cE
