name,number,image,date,Batch,Type,Rank,Total Score,Background,Background Score,Skin,Skin Score,Body,Body Score,Eyes,Eyes Score,Weapon,Weapon Score,Necklace,Necklace Score,Eye Patch,Eye Patch Score,Hair,Hair Score,Hat,Hat Score,Mouth,Mouth Score,Pet,Pet Score,Unlock_Date
Pirate Life #1020,1020,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1020.png,1669568874871,4,Common,840.0,135.06776609383516,Green,22.846153846153847,Almond,6.527472527472527,Shirt_Shadow,17.217391304347828,Bulging_Eyes_Orange,12.774193548387096,None,1.6545961002785516,Teeth,9.818181818181818,Eye_Patch_Right,2.54389721627409,Mid_Hair_Goatee_Grey,29.7,Bandana_Purple,15.84,Pipe_Gold,13.5,None,2.645879732739421,2
Pirate Life #1021,1021,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1021.png,1669568874978,4,Common,401.0,170.37020951133283,Chilean_Fire,19.8,Porcelain,5.823529411764706,Shirt_LQDR,16.5,Wink_Blue,16.054054054054053,Gun_Dual,42.42857142857143,None,1.7142857142857142,Eye_Patch_Right,2.54389721627409,Mid_Hair_Stubble_Brown,32.108108108108105,None,1.8977635782747604,Pipe_Gold,13.5,Monkey_x,18.0,2
Pirate Life #1022,1022,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1022.png,1669568875086,4,Common,869.0,132.84167471628,Abe_Cyan,17.470588235294116,Espresso,6.711864406779662,Tattoo,17.217391304347828,Wink_Green,14.666666666666668,Sword_Left,12.913043478260871,None,1.7142857142857142,Eye_Patch_Right,2.54389721627409,Short_Hair_Goatee_White,32.108108108108105,None,1.8977635782747604,Teeth_Silver,8.865671641791044,Monkey_Blue,16.732394366197184,2
Pirate Life #1023,1023,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1023.png,1669568875178,4,Common,137.0,215.74007073206138,Yellow,16.732394366197184,Concrete,18.5625,Shirt_Green_Grey,13.2,Angry_Eyes_Green,12.122448979591837,None,1.6545961002785516,None,1.7142857142857142,None,4.432835820895522,Mid_Hair_Goatee_Grey,29.7,Pirate_Hat_Gold,91.38461538461539,Pipe_Silver,9.504,Monkey_Blue,16.732394366197184,2
Pirate Life #1024,1024,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1024.png,1669568875288,4,Common,647.0,148.65203260289144,Mint,20.135593220338983,Golden,7.615384615384615,Shirt_LQDR,16.5,Angry_Eyes,12.638297872340425,None,1.6545961002785516,Teeth_Blood,18.5625,Eye_Patch_Right,2.54389721627409,Short_Hair_Goatee_Black,39.6,None,1.8977635782747604,Pipe_Silver,9.504,Monkey_x,18.0,2
Pirate Life #1025,1025,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1025.png,1669568875381,4,Common,616.0,150.33971991803293,Night_Blue,18.5625,Almond,6.527472527472527,Shirt_LQDR,16.5,Bulging_Eyes_Green,13.976470588235296,Sword_Right,12.505263157894737,None,1.7142857142857142,Eye_Patch_Right,2.54389721627409,Mid_Hair_Beard_Blonde,34.94117647058823,Pirate_Hat_Blue,17.470588235294116,Teeth_Silver,8.865671641791044,Monkey_Blue,16.732394366197184,2
Pirate Life #1026,1026,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1026.png,1669568875467,4,Common,405.0,169.79589213575497,Spektral,19.475409836065573,Almond,6.527472527472527,Shirt_Shadow,17.217391304347828,Wink_Blue,16.054054054054053,Sword_Right_Gun_Left,45.69230769230769,None,1.7142857142857142,Eye_Patch_Left,2.8218527315914486,Mid_Hair_Blonde,32.108108108108105,Bandana_Red,19.8,Regular_Mouth,5.739130434782608,None,2.645879732739421,2
Pirate Life #1027,1027,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1027.png,1669568980146,4,Common,532.0,156.4879611749933,Stormy_Seas,51.652173913043484,Golden,7.615384615384615,Tattoo,17.217391304347828,Stoned_Eyes,13.054945054945055,Gun_Right,12.24742268041237,None,1.7142857142857142,None,4.432835820895522,Mid_Hair_Goatee_Brown,34.94117647058823,None,1.8977635782747604,Cheeky,9.068702290076336,None,2.645879732739421,2
Pirate Life #1028,1028,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1028.png,1669568980251,4,Common,147.0,212.99562380184105,Blue,20.135593220338983,Porcelain,5.823529411764706,Shirt_Red_Pink,15.428571428571429,Wink_Blue,16.054054054054053,None,1.6545961002785516,None,1.7142857142857142,Eye_Patch_Right,2.54389721627409,Mid_Hair_Stubble_Pink,108.0,Bandana_Purple,15.84,Cheeky,9.068702290076336,Monkey_Blue,16.732394366197184,2
Pirate Life #1029,1029,https://nft.hedgey.finance/fantom/0xb75b8dac018f36cdc1e16042bb598c99885ecbf9/1029.png,1669568980370,4,Common,584.0,152.219428229424,Aureolin,18.276923076923076,Honey,7.714285714285714,Tattoo_Scar,25.27659574468085,Angry_Eyes,12.638297872340425,Sword_Right,12.505263157894737,None,1.7142857142857142,Eye_Patch_Right,2.54389721627409,Short_Hair_Goatee_Black,39.6,Bandana_Red,19.8,Pipe_Silver,9.504,None,2.645879732739421,2
