2022-12-05/01:00:52		Pixel Pirate Scrape Started
2022-12-05/01:03:12		Error occurred while scraping Pixel Pirates for Error: execution reverted: ERC721: owner query for nonexistent token
2022-12-05/01:03:12		Pirate Life Scrape Started
2022-12-05/01:06:24		Pirate Life Scrape Successful
2022-12-05/02:57:22		Pixel Pirate Scrape Started
2022-12-05/02:59:18		Error occurred while scraping Pixel Pirates for Error: execution reverted: ERC721: owner query for nonexistent token
2022-12-05/02:59:18		Pirate Life Scrape Started
2022-12-05/03:02:25		Pirate Life Scrape Successful
2022-12-05/08:17:01		Pixel Pirate Scrape Started
2022-12-05/08:18:46		Error occurred while scraping Pixel Pirates for Error: execution reverted: ERC721: owner query for nonexistent token
2022-12-05/08:18:46		Pirate Life Scrape Started
2022-12-05/08:21:38		Pirate Life Scrape Successful
2022-12-05/09:35:43		Pixel Pirate Scrape Started
2022-12-05/09:37:30		Error occurred while scraping Pixel Pirates for Error: execution reverted: ERC721: owner query for nonexistent token
2022-12-05/09:37:30		Pirate Life Scrape Started
2022-12-05/09:40:16		Pirate Life Scrape Successful
2022-12-05/10:14:14		Pixel Pirate Scrape Started
2022-12-05/10:15:56		Error occurred while scraping Pixel Pirates for Error: execution reverted: ERC721: owner query for nonexistent token
2022-12-05/10:15:56		Pirate Life Scrape Started
2022-12-05/10:18:43		Pirate Life Scrape Successful
2022-12-05/10:38:14		Pixel Pirate Scrape Started
2022-12-05/10:40:07		Error occurred while scraping Pixel Pirates for Error: execution reverted: ERC721: owner query for nonexistent token
2022-12-05/10:40:07		Pirate Life Scrape Started
2022-12-05/10:42:49		Pirate Life Scrape Successful
2022-12-05/12:24:36		Pixel Pirate Scrape Started
2022-12-05/12:26:32		Error occurred while scraping Pixel Pirates for Error: execution reverted: ERC721: owner query for nonexistent token
2022-12-05/12:26:32		Pirate Life Scrape Started
2022-12-05/12:29:42		Pirate Life Scrape Successful
2022-12-05/12:57:41		Pixel Pirate Scrape Started
2022-12-05/12:59:34		Error occurred while scraping Pixel Pirates for Error: execution reverted: ERC721: owner query for nonexistent token
2022-12-05/12:59:34		Pirate Life Scrape Started
2022-12-05/13:02:36		Pirate Life Scrape Successful
2022-12-05/13:23:46		Pixel Pirate Scrape Started
2022-12-05/13:25:44		Error occurred while scraping Pixel Pirates for Error: execution reverted: ERC721: owner query for nonexistent token
2022-12-05/13:25:44		Pirate Life Scrape Started
2022-12-05/13:28:52		Pirate Life Scrape Successful
2022-12-05/22:12:01		Pixel Pirate Scrape Started
2022-12-05/22:14:02		Error occurred while scraping Pixel Pirates for Error: execution reverted: ERC721: owner query for nonexistent token
2022-12-05/22:14:02		Pirate Life Scrape Started
2022-12-05/22:17:15		Pirate Life Scrape Successful
